FMTNAME,START,END,LABEL,MIN,MAX,DEFAULT,LENGTH,FUZZ,PREFIX,MULT,FILL,NOEDIT,TYPE,SEXCL,EEXCL,HLO,DECSEP,DIG3SEP,DATATYPE,LANGUAGE
I011721AS1Y16Y17RC,A8109,A8109,52,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,A811,A811,52,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,A812,A812,52,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,A8181,A8181,52,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,A8182,A8182,52,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,A8183,A8183,52,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,A8189,A8189,52,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,A819,A819,52,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,A985,A985,141,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,B007,B007,2,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,B0082,B0082,72,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,B0112,B0112,72,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,B0224,B0224,72,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,B0682,B0682,39,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,B180,B180,29,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,B181,B181,29,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,B182,B182,29,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,B188,B188,29,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,B189,B189,29,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,B20,B20,1,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,B250,B250,6,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,B251,B251,6,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,B252,B252,6,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,B258,B258,6,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,B259,B259,6,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,B2685,B2685,39,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,B3324,B3324,85,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,B371,B371,6,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,B377,B377,2,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,B3781,B3781,6,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,B380,B380,115,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,B381,B381,115,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,B382,B382,115,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,B390,B390,115,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,B391,B391,115,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,B392,B392,115,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,B400,B400,115,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,B401,B401,115,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,B402,B402,115,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,B410,B410,115,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,B4282,B4282,39,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,B440,B440,6,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,B441,B441,6,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,B442,B442,6,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,B447,B447,6,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,B4481,B4481,112,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,B4489,B4489,6,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,B449,B449,6,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,B450,B450,6,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,B451,B451,6,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,B452,B452,6,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,B453,B453,6,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,B457,B457,6,1,40,4,4,0,,0,,0,C,N,N,,,,,
